epoch,train_loss,train_acc,test_acc
1,1.5462508834138209,44.704,46.07
2,1.4316561562674386,48.69,48.44
3,1.4059132094285927,49.338,49.3
4,1.3916089133340486,50.132,50.28
5,1.3838277258435074,50.422,50.74999999999999
6,1.3777242546178856,50.822,50.99
7,1.3664018821959594,50.942,50.83
8,1.358098523349178,51.236000000000004,51.44
9,1.352560253167639,51.507999999999996,52.21
10,1.3551555166439133,51.552,50.86000000000001
11,1.3510981591380373,51.644,51.49
12,1.345789554167767,51.644,52.07000000000001
13,1.343198526878746,51.93600000000001,51.33
14,1.3388929069042206,52.034000000000006,51.85999999999999
15,1.3354177943297796,52.154,51.580000000000005
16,1.3376750307423728,52.337999999999994,52.43
17,1.336075678771856,52.193999999999996,52.019999999999996
18,1.32889624396149,52.586,52.86
19,1.3288535968381532,52.616,51.339999999999996
20,1.3296938873067194,52.266,52.12
