epoch,train_loss,train_acc,test_acc
1,2.3015299320220945,13.08,10.7375
2,2.2422027468681334,16.5,15.462500000000002
3,2.195977735519409,18.08,17.775
4,2.1754168272018433,18.8,19.775000000000002
5,2.148568069934845,20.560000000000002,18.925
6,2.1447757959365843,21.34,22.6
7,2.124767029285431,20.78,20.75
8,2.1163139820098875,21.4,23.2375
9,2.0931642055511475,24.42,24.55
10,2.0938778281211854,22.08,24.525
11,2.075923776626587,24.68,26.400000000000002
12,2.0614543914794923,24.64,24.875
13,2.059839004278183,25.119999999999997,26.9625
14,2.050032842159271,25.36,25.3125
15,2.040238690376282,25.06,26.55
16,2.059399354457855,24.4,26.7625
17,2.018942791223526,26.179999999999996,27.35
18,2.0252829074859617,26.44,25.75
19,2.0215503573417664,25.8,27.8125
20,2.0083451628685,26.26,28.7
