epoch,train_loss,train_acc,test_acc
1,1.7653298854827881,41.199999999999996,61.425
2,1.1565236568450927,63.63999999999999,65.4875
3,1.0136951446533202,65.94,66.07499999999999
4,0.9584596574306488,66.97999999999999,67.5375
5,0.9245092928409576,67.44,67.7375
6,0.9011351287364959,68.10000000000001,68.4875
7,0.8789908140897751,68.67999999999999,68.1875
8,0.8679894894361496,68.86,68.63749999999999
9,0.8563911259174347,69.58,69.6125
10,0.8443152219057083,69.72,69.4625
11,0.8339249610900878,70.24000000000001,69.825
12,0.8295666128396988,70.12,69.85
13,0.8105484187602997,70.89999999999999,69.85
14,0.8099992215633393,71.06,70.35
15,0.8107219219207764,70.72,70.5
16,0.8014804273843765,70.84,69.65
17,0.7922744899988174,71.38,70.1
18,0.7901300370693207,71.44,70.0875
19,0.7833203226327896,71.1,69.5125
20,0.7774413734674454,71.38,70.46249999999999
