epoch,train_loss,test_loss,test_acc
1,2.1549053942003558,1.9653587831497192,0.3122
2,1.8172282057423745,1.6647253673553466,0.3983
3,1.656125049437246,1.6407781248092652,0.4046
4,2.428217041877008,2.03818966255188,0.3527
5,2.327538255722292,1.5901154521942138,0.4061
6,2.5915270716913286,3.1373445835113527,0.2873
7,2.0335587724562614,1.526020128440857,0.4326
8,2.0830277300650075,2.2063417749404906,0.3681
9,2.891350696163793,1.9524868656158447,0.3717
10,3.077805026885002,2.5249557403564453,0.2446
11,2.7132164566747603,1.943757048034668,0.3672
12,2.2518420007921036,1.8794769580841064,0.3394
13,1.9218014728638433,1.510102172279358,0.4503
14,2.108387004944586,1.6895757144927979,0.4162
15,1.9173340739742402,1.606623035621643,0.4286
16,2.184092337085355,1.5690843900680542,0.455
17,2.2236288689797923,1.6608947456359864,0.4244
18,2.649465274426245,2.0969763717651366,0.3784
19,2.4642119330744587,1.8289991062164306,0.3875
20,2.78807117285267,1.7839589534759521,0.3763
21,2.2757512734782313,1.8682784395217895,0.3518
22,2.532024018226131,1.7279417198181153,0.3558
23,1.524045261644548,1.411978162765503,0.492
24,1.399717680869564,1.425228399848938,0.5043
25,2.014086023453743,2.103012540817261,0.3642
26,1.9962945753528225,1.5084602300643921,0.465
27,2.5463154642812666,1.5792719299316407,0.4199
28,2.5616337099382953,1.9294487257003785,0.4092
29,2.3246630026448156,1.6231796293258667,0.433
30,1.7102828621864319,1.4683063896179198,0.4911
31,1.9545894495902523,1.5057442268371581,0.4639
32,1.8611885905265808,1.4508583856582642,0.4888
33,1.7135241973784663,1.6196642665863037,0.4459
34,1.7119511865800427,1.5051118515014648,0.4524
35,2.0740140253497708,1.5424763191223145,0.4694
36,2.0503055664800827,1.5586157165527343,0.4512
37,1.961465472175229,1.532552109146118,0.4756
38,1.6616589561585458,1.4833403425216676,0.4755
39,1.867798182272142,1.4556702375411987,0.5001
40,1.8370245733568746,1.4182583219528198,0.488
41,1.6312001059132237,1.4395556396484375,0.4845
42,2.020532727241516,1.5525406358718872,0.5043
43,2.1069587757510524,1.9747667114257812,0.4015
44,1.951637379584774,1.4609017168045044,0.5134
45,1.8923553959015877,1.4049258493423462,0.5219
46,2.234485883866587,1.5641705907821655,0.427
47,2.0890303157990977,1.4425002361297607,0.4848
48,1.8733617374973912,1.4491936122894287,0.4983
49,2.1039667091061993,1.5059773876190186,0.5092
50,1.959857044681426,1.55095207157135,0.4835
